discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
36,24.99,Diamond Geometric Letter Print Hoodie,33.986,8349089,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Geometric,Letter;Season:Fall,Spring,Winter;Weight:0.4800kg;PackageContents:1xHoodie",https://www.dresslily.com/diamond-geometric-letter-print-hoodie-product8349089.html,
45,28.99,Christmas Faux Rose Suit 3D Print Drawstring Hoodie,42.035,8349187,";ClothesType:Hoodie;Occasion:ChristmasDay;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:3DPrint,Floral;Season:Fall,Spring;Weight:0.5000kg;PackageContents:1xHoodie",https://www.dresslily.com/christmas-faux-rose-suit-3d-product8349187.html,1
42,28.99,Halloween Graffiti Pumpkin Print Drawstring Pullover Hoodie,41.166,8350264,";ClothesType:Hoodie;Occasion:Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal,Pumpkin,Skull;Season:Fall,Spring;Weight:0.5000kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-graffiti-pumpkin-print-drawstring-product8350264.html,
41,28.99,Two Face Tiger Pattern Front Pocket Pullover Hoodie,40.876,8350267,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5000kg;PackageContents:1xHoodie",https://www.dresslily.com/two-face-tiger-pattern-front-product8350267.html,
47,28.99,Halloween Owl Pumpkin Print Pullover Drawstring Hoodie,42.615,8350263,";ClothesType:Hoodie;Occasion:Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal,Cartoon,Ghost,Pumpkin;Season:Fall,Spring;Weight:0.5100kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-owl-pumpkin-print-pullover-product8350263.html,
36,28.99,Galaxy Print Front Pocket Hoodie,39.426,8353421,";ClothesType:Hoodie;Occasion:Daily;Style:Fashion;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Galaxy;Season:Fall,Spring;Weight:0.5500kg;PackageContents:1xHoodie",https://www.dresslily.com/galaxy-print-front-pocket-hoodie-product8353421.html,1
48,26.99,Kangaroo Pocket Astronaut Pigeon Print Hoodie,39.945,8350660,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.7000kg;PackageContents:1xHoodie",https://www.dresslily.com/kangaroo-pocket-astronaut-pigeon-print-product8350660.html,
41,28.99,Halloween Liquid Skull Pattern Front Pocket Drawstring Hoodie,40.876,8350279,";ClothesType:Hoodie;Occasion:Daily,Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Skull;Season:Fall,Spring;Weight:0.5300kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-liquid-skull-pattern-front-product8350279.html,
41,28.99,Floral Cattle Graphic Front Pocket Drawstring Hoodie,40.876,8353427,";ClothesType:Hoodie;Occasion:Daily;Style:Fashion;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Animal,Floral;Season:Fall,Spring;Weight:0.5300kg;PackageContents:1xHoodie",https://www.dresslily.com/floral-cattle-graphic-front-pocket-product8353427.html,
53,24.99,Contrast Circle Print Kangaroo Pocket Hoodie,38.235,8354136,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Others;Season:Fall,Spring;Weight:0.4900kg;PackageContents:1xHoodie",https://www.dresslily.com/contrast-circle-print-kangaroo-pocket-product8354136.html,
